cod_provincia	nombre_provincia	cod_canton	nombre_canton
01	AZUAY	0101	CUENCA
01	AZUAY	0102	GIRON
01	AZUAY	0103	GUALACEO
01	AZUAY	0104	NABON
01	AZUAY	0105	PAUTE
01	AZUAY	0106	PUCARA
01	AZUAY	0107	SAN FERNANDO
01	AZUAY	0108	SANTA ISABEL
01	AZUAY	0109	SIGSIG
01	AZUAY	0110	OÑA
01	AZUAY	0111	CHORDELEG
01	AZUAY	0112	EL PAN
01	AZUAY	0113	SEVILLA DE ORO
01	AZUAY	0114	GUACHAPALA
01	AZUAY	0115	CAMILO PONCE ENRIQUEZ
02	BOLIVAR	0201	GUARANDA
02	BOLIVAR	0202	CHILLANES
02	BOLIVAR	0203	CHIMBO
02	BOLIVAR	0204	ECHEANDIA
02	BOLIVAR	0205	SAN MIGUEL
02	BOLIVAR	0206	CALUMA
02	BOLIVAR	0207	LAS NAVES
03	CAÑAR	0301	AZOGUES
03	CAÑAR	0302	BIBLIAN
03	CAÑAR	0303	CAÑAR
03	CAÑAR	0304	LA TRONCAL
03	CAÑAR	0305	EL TAMBO
03	CAÑAR	0306	DELEG
03	CAÑAR	0307	SUSCAL
04	CARCHI	0401	TULCAN
04	CARCHI	0402	BOLIVAR
04	CARCHI	0403	ESPEJO
04	CARCHI	0404	MIRA
04	CARCHI	0405	MONTUFAR
04	CARCHI	0406	SAN PEDRO DE HUACA
05	COTOPAXI	0501	LATACUNGA
05	COTOPAXI	0502	LA MANA
05	COTOPAXI	0503	PANGUA
05	COTOPAXI	0504	PUJILI
05	COTOPAXI	0505	SALCEDO
05	COTOPAXI	0506	SAQUISILI
05	COTOPAXI	0507	SIGCHOS
06	CHIMBORAZO	0601	RIOBAMBA
06	CHIMBORAZO	0602	ALAUSI
06	CHIMBORAZO	0603	COLTA
06	CHIMBORAZO	0604	CHAMBO
06	CHIMBORAZO	0605	CHUNCHI
06	CHIMBORAZO	0606	GUAMOTE
06	CHIMBORAZO	0607	GUANO
06	CHIMBORAZO	0608	PALLATANGA
06	CHIMBORAZO	0609	PENIPE
06	CHIMBORAZO	0610	CUMANDA
07	EL ORO	0701	MACHALA
07	EL ORO	0702	ARENILLAS
07	EL ORO	0703	ATAHUALPA
07	EL ORO	0704	BALSAS
07	EL ORO	0705	CHILLA
07	EL ORO	0706	EL GUABO
07	EL ORO	0707	HUAQUILLAS
07	EL ORO	0708	MARCABELI
07	EL ORO	0709	PASAJE
07	EL ORO	0710	PIÑAS
07	EL ORO	0711	PORTOVELO
07	EL ORO	0712	SANTA ROSA
07	EL ORO	0713	ZARUMA
07	EL ORO	0714	LAS LAJAS
08	ESMERALDAS	0801	ESMERALDAS
08	ESMERALDAS	0802	ELOY ALFARO
08	ESMERALDAS	0803	MUISNE
08	ESMERALDAS	0804	QUININDE
08	ESMERALDAS	0805	SAN LORENZO
08	ESMERALDAS	0806	ATACAMES
08	ESMERALDAS	0807	RIO VERDE
09	GUAYAS	0901	GUAYAQUIL
09	GUAYAS	0902	ALFREDO BAQUERIZO MORENO
09	GUAYAS	0903	BALAO
09	GUAYAS	0904	BALZAR
09	GUAYAS	0905	COLIMES
09	GUAYAS	0906	DAULE
09	GUAYAS	0907	DURAN
09	GUAYAS	0908	EL EMPALME
09	GUAYAS	0909	EL TRIUNFO
09	GUAYAS	0910	MILAGRO
09	GUAYAS	0911	NARANJAL
09	GUAYAS	0912	NARANJITO
09	GUAYAS	0913	PALESTINA
09	GUAYAS	0914	PEDRO CARBO
09	GUAYAS	0916	SAMBORONDON
09	GUAYAS	0918	SANTA LUCIA
09	GUAYAS	0919	SALITRE
09	GUAYAS	0920	SAN JACINTO DE YAGUACHI
09	GUAYAS	0921	PLAYAS (GENERAL VILLAMIL)
09	GUAYAS	0922	SIMON BOLIVAR
09	GUAYAS	0923	CORONEL MARCELINO MARIDUEÑA
09	GUAYAS	0924	LOMAS DE SARGENTILLO
09	GUAYAS	0925	NOBOL (VICENTE PIEDRAHITA)
09	GUAYAS	0927	GENERAL ANTONIO ELIZALDE
09	GUAYAS	0928	ISIDRO AYORA
10	IMBABURA	1001	IBARRA
10	IMBABURA	1002	ANTONIO ANTE
10	IMBABURA	1003	COTACACHI
10	IMBABURA	1004	OTAVALO
10	IMBABURA	1005	PIMAMPIRO
10	IMBABURA	1006	SAN MIGUEL DE URCUQUI
11	LOJA	1101	LOJA
11	LOJA	1102	CALVAS
11	LOJA	1103	CATAMAYO
11	LOJA	1104	CELICA
11	LOJA	1105	CHAHUARPAMBA
11	LOJA	1106	ESPINDOLA
11	LOJA	1107	GONZANAMA
11	LOJA	1108	MACARA
11	LOJA	1109	PALTAS
11	LOJA	1110	PUYANGO
11	LOJA	1111	SARAGURO
11	LOJA	1112	SOZORANGA
11	LOJA	1113	ZAPOTILLO
11	LOJA	1114	PINDAL
11	LOJA	1115	QUILANGA
11	LOJA	1116	OLMEDO
12	LOS RIOS	1201	BABAHOYO
12	LOS RIOS	1202	BABA
12	LOS RIOS	1203	MONTALVO
12	LOS RIOS	1204	PUEBLO VIEJO
12	LOS RIOS	1205	QUEVEDO
12	LOS RIOS	1206	URDANETA
12	LOS RIOS	1207	VENTANAS
12	LOS RIOS	1208	VINCES
12	LOS RIOS	1209	PALENQUE
12	LOS RIOS	1210	BUENA FE
12	LOS RIOS	1211	VALENCIA
12	LOS RIOS	1212	MOCACHE
12	LOS RIOS	1213	QUINSALOMA
13	MANABI	1301	PORTOVIEJO
13	MANABI	1302	BOLIVAR
13	MANABI	1303	CHONE
13	MANABI	1304	EL CARMEN
13	MANABI	1305	FLAVIO ALFARO
13	MANABI	1306	JIPIJAPA
13	MANABI	1307	JUNIN
13	MANABI	1308	MANTA
13	MANABI	1309	MONTECRISTI
13	MANABI	1310	PAJAN
13	MANABI	1311	PICHINCHA
13	MANABI	1312	ROCAFUERTE
13	MANABI	1313	SANTA ANA
13	MANABI	1314	SUCRE
13	MANABI	1315	TOSAGUA
13	MANABI	1316	24 DE MAYO
13	MANABI	1317	PEDERNALES
13	MANABI	1318	OLMEDO
13	MANABI	1319	PUERTO LOPEZ
13	MANABI	1320	JAMA
13	MANABI	1321	JARAMIJO
13	MANABI	1322	SAN VICENTE
14	MORONA SANTIAGO	1401	MORONA
14	MORONA SANTIAGO	1402	GUALAQUIZA
14	MORONA SANTIAGO	1403	LIMON - INDANZA
14	MORONA SANTIAGO	1404	PALORA
14	MORONA SANTIAGO	1405	SANTIAGO
14	MORONA SANTIAGO	1406	SUCUA
14	MORONA SANTIAGO	1407	HUAMBOYA
14	MORONA SANTIAGO	1408	SAN JUAN BOSCO
14	MORONA SANTIAGO	1409	TAISHA
14	MORONA SANTIAGO	1410	LOGROÑO
14	MORONA SANTIAGO	1411	PABLO SEXTO
14	MORONA SANTIAGO	1412	TIWINTZA
15	NAPO	1501	TENA
15	NAPO	1503	ARCHIDONA
15	NAPO	1504	EL CHACO
15	NAPO	1507	QUIJOS
15	NAPO	1509	CARLOS JULIO AROSEMENA T.
16	PASTAZA	1601	PASTAZA
16	PASTAZA	1602	MERA
16	PASTAZA	1603	SANTA CLARA
16	PASTAZA	1604	ARAJUNO
17	PICHINCHA	1701	QUITO
17	PICHINCHA	1702	CAYAMBE
17	PICHINCHA	1703	MEJIA
17	PICHINCHA	1704	PEDRO MONCAYO
17	PICHINCHA	1705	RUMIÑAHUI
17	PICHINCHA	1707	SAN MIGUEL DE LOS BANCOS
17	PICHINCHA	1708	PEDRO VICENTE MALDONADO
17	PICHINCHA	1709	PUERTO QUITO
18	TUNGURAHUA	1801	AMBATO
18	TUNGURAHUA	1802	BAÑOS DE AGUA SANTA
18	TUNGURAHUA	1803	CEVALLOS
18	TUNGURAHUA	1804	MOCHA
18	TUNGURAHUA	1805	PATATE
18	TUNGURAHUA	1806	QUERO
18	TUNGURAHUA	1807	SAN PEDRO DE PELILEO
18	TUNGURAHUA	1808	SANTIAGO DE PILLARO
18	TUNGURAHUA	1809	TISALEO
19	ZAMORA CHINCHIPE	1901	ZAMORA
19	ZAMORA CHINCHIPE	1902	CHINCHIPE
19	ZAMORA CHINCHIPE	1903	NANGARITZA
19	ZAMORA CHINCHIPE	1904	YACUAMBI
19	ZAMORA CHINCHIPE	1905	YANTZAZA
19	ZAMORA CHINCHIPE	1906	EL PANGUI
19	ZAMORA CHINCHIPE	1907	CENTINELA DEL CONDOR
19	ZAMORA CHINCHIPE	1908	PALANDA
